Kmean Avg_Dist_Var:0.3967114961395422; Kmean2 Avg_Dist_Var:2.483391238593022
Kmean Avg_Dist_Var:0.3921223841370385; Kmean2 Avg_Dist_Var:2.5330714811989603
Kmean Avg_Dist_Var:0.39154191076608014; Kmean2 Avg_Dist_Var:2.2787227807755115
Kmean Avg_Dist_Var:0.3932576112805006; Kmean2 Avg_Dist_Var:3.60929340573864
Kmean Avg_Dist_Var:0.3889248043005681; Kmean2 Avg_Dist_Var:2.728674593363582
Kmean Avg_Dist_Var:0.39493986007457726; Kmean2 Avg_Dist_Var:2.063401690193335
Kmean Avg_Dist_Var:0.39061725336270275; Kmean2 Avg_Dist_Var:2.558678728896853
Kmean Avg_Dist_Var:0.3904457486133264; Kmean2 Avg_Dist_Var:2.5288050968478712
Kmean Avg_Dist_Var:0.3940480752291135; Kmean2 Avg_Dist_Var:3.14603953147318
Kmean Avg_Dist_Var:0.3930239164191012; Kmean2 Avg_Dist_Var:2.3186670149457207
Kmean Avg_Dist_Var:0.391043098063319; Kmean2 Avg_Dist_Var:2.2465002504578004
Kmean Avg_Dist_Var:0.39541981056192593; Kmean2 Avg_Dist_Var:2.0863345070877495
Kmean Avg_Dist_Var:0.38822540483441287; Kmean2 Avg_Dist_Var:3.859176416476166
Kmean Avg_Dist_Var:0.3976411680357687; Kmean2 Avg_Dist_Var:3.0718921414805687
Kmean Avg_Dist_Var:0.3918473649457361; Kmean2 Avg_Dist_Var:2.6973027802982816
Kmean Avg_Dist_Var:0.3964147987180142; Kmean2 Avg_Dist_Var:1.8519215873682922
Kmean Avg_Dist_Var:0.3851505594740385; Kmean2 Avg_Dist_Var:2.4113137131435503
Kmean Avg_Dist_Var:0.3895257337068944; Kmean2 Avg_Dist_Var:3.749923567298917
Kmean Avg_Dist_Var:0.39500274673120794; Kmean2 Avg_Dist_Var:3.293419958888968
Kmean Avg_Dist_Var:0.3950914804894307; Kmean2 Avg_Dist_Var:2.207042224319012
Kmean Avg_Dist_Var:0.39099855664664945; Kmean2 Avg_Dist_Var:3.655837313443311
Kmean Avg_Dist_Var:0.39317656448709276; Kmean2 Avg_Dist_Var:3.054787708984748
Kmean Avg_Dist_Var:0.389548761617308; Kmean2 Avg_Dist_Var:4.1459036196931995
Kmean Avg_Dist_Var:0.3938158075120186; Kmean2 Avg_Dist_Var:3.2706279447844775
Kmean Avg_Dist_Var:0.39472376339965914; Kmean2 Avg_Dist_Var:2.8698450653347054
Kmean Avg_Dist_Var:0.3930033856336337; Kmean2 Avg_Dist_Var:1.9345110234645377
Kmean Avg_Dist_Var:0.3935917564880002; Kmean2 Avg_Dist_Var:2.628405270824117
Kmean Avg_Dist_Var:0.39252628148375823; Kmean2 Avg_Dist_Var:2.1316422903223082
Kmean Avg_Dist_Var:0.38842731288738325; Kmean2 Avg_Dist_Var:2.0629153482155527
Kmean Avg_Dist_Var:0.3933624396440148; Kmean2 Avg_Dist_Var:3.254283517219755
Kmean Avg_Dist_Var:0.39428413194354656; Kmean2 Avg_Dist_Var:3.4320106303251072
Kmean Avg_Dist_Var:0.38923557934777087; Kmean2 Avg_Dist_Var:1.7525741886294928
Kmean Avg_Dist_Var:0.39734730671376556; Kmean2 Avg_Dist_Var:2.4540439425483536
Kmean Avg_Dist_Var:0.3913560984944408; Kmean2 Avg_Dist_Var:2.969953966697998
Kmean Avg_Dist_Var:0.3929253397998546; Kmean2 Avg_Dist_Var:2.5970313032862506
Kmean Avg_Dist_Var:0.3880293093005376; Kmean2 Avg_Dist_Var:3.3136703949805306
Kmean Avg_Dist_Var:0.3902395878637222; Kmean2 Avg_Dist_Var:2.149566306099064
Kmean Avg_Dist_Var:0.3916680297170232; Kmean2 Avg_Dist_Var:3.7085748778848737
Kmean Avg_Dist_Var:0.3972794029984267; Kmean2 Avg_Dist_Var:2.553700747311217
Kmean Avg_Dist_Var:0.3931590404172382; Kmean2 Avg_Dist_Var:3.170159583136831
Kmean Avg_Dist_Var:0.39293687484232237; Kmean2 Avg_Dist_Var:3.993844131617994
Kmean Avg_Dist_Var:0.3925070576069796; Kmean2 Avg_Dist_Var:2.8215818750228494
Kmean Avg_Dist_Var:0.394087820610473; Kmean2 Avg_Dist_Var:4.218701941731668
Kmean Avg_Dist_Var:0.39298370909851166; Kmean2 Avg_Dist_Var:1.718482410175394
Kmean Avg_Dist_Var:0.3936096834453268; Kmean2 Avg_Dist_Var:2.9469958950266255
Kmean Avg_Dist_Var:0.39368448263420724; Kmean2 Avg_Dist_Var:3.4818933818810973
Kmean Avg_Dist_Var:0.3886724996819673; Kmean2 Avg_Dist_Var:3.1532369832996885
Kmean Avg_Dist_Var:0.39309173623348914; Kmean2 Avg_Dist_Var:2.624002080833701
Kmean Avg_Dist_Var:0.3893757661930956; Kmean2 Avg_Dist_Var:3.169566628608853
Kmean Avg_Dist_Var:0.38823944379539344; Kmean2 Avg_Dist_Var:2.4122460495888767
Kmean Avg_Dist_Var:0.3912020491903823; Kmean2 Avg_Dist_Var:3.6978670813131074
Kmean Avg_Dist_Var:0.3895311801046889; Kmean2 Avg_Dist_Var:1.4594946929061534
Kmean Avg_Dist_Var:0.3920446867735344; Kmean2 Avg_Dist_Var:3.7018686202678293
Kmean Avg_Dist_Var:0.3937100194614063; Kmean2 Avg_Dist_Var:3.2447156257201217
Kmean Avg_Dist_Var:0.3925673555692678; Kmean2 Avg_Dist_Var:2.1352682662595805
Kmean Avg_Dist_Var:0.3923082759897459; Kmean2 Avg_Dist_Var:3.3551650789646543
Kmean Avg_Dist_Var:0.3913857122118317; Kmean2 Avg_Dist_Var:2.3424306370374564
Kmean Avg_Dist_Var:0.3901946102533469; Kmean2 Avg_Dist_Var:3.2671448492520194
Kmean Avg_Dist_Var:0.391134518142701; Kmean2 Avg_Dist_Var:2.5023165666969844
Kmean Avg_Dist_Var:0.39302212099338607; Kmean2 Avg_Dist_Var:2.000459189051026
Kmean Avg_Dist_Var:0.3892962397353153; Kmean2 Avg_Dist_Var:3.3037200246986975
Kmean Avg_Dist_Var:0.39200486030611925; Kmean2 Avg_Dist_Var:3.1505602935570343
Kmean Avg_Dist_Var:0.38683077606187327; Kmean2 Avg_Dist_Var:1.9982071972060562
Kmean Avg_Dist_Var:0.3920799567679615; Kmean2 Avg_Dist_Var:3.45299952374207
Kmean Avg_Dist_Var:0.39409423226333096; Kmean2 Avg_Dist_Var:2.3816041438635263
Kmean Avg_Dist_Var:0.3873683653405098; Kmean2 Avg_Dist_Var:2.607250941624635
Kmean Avg_Dist_Var:0.3923009002141151; Kmean2 Avg_Dist_Var:2.426684478053384
Kmean Avg_Dist_Var:0.3925351041010829; Kmean2 Avg_Dist_Var:1.760831253426339
Kmean Avg_Dist_Var:0.39318022421442944; Kmean2 Avg_Dist_Var:3.0860935004159527
Kmean Avg_Dist_Var:0.39668011753704896; Kmean2 Avg_Dist_Var:1.914718435993739
Kmean Avg_Dist_Var:0.3936054681228397; Kmean2 Avg_Dist_Var:2.3302185226483827
Kmean Avg_Dist_Var:0.3939715097887006; Kmean2 Avg_Dist_Var:2.292836690619942
Kmean Avg_Dist_Var:0.39158800941329064; Kmean2 Avg_Dist_Var:3.2085616686991063
Kmean Avg_Dist_Var:0.3934670249068489; Kmean2 Avg_Dist_Var:1.401827242674514
Kmean Avg_Dist_Var:0.39088273661656897; Kmean2 Avg_Dist_Var:3.3572849334961403
Kmean Avg_Dist_Var:0.3945568529894485; Kmean2 Avg_Dist_Var:2.7427003716726492
Kmean Avg_Dist_Var:0.3896687897559685; Kmean2 Avg_Dist_Var:3.428202158803485
Kmean Avg_Dist_Var:0.3907413462380129; Kmean2 Avg_Dist_Var:1.5776205658340028
Kmean Avg_Dist_Var:0.38857926694469597; Kmean2 Avg_Dist_Var:2.4912202749326804
Kmean Avg_Dist_Var:0.392934921369005; Kmean2 Avg_Dist_Var:1.8651566266655957
Kmean Avg_Dist_Var:0.38898179257061644; Kmean2 Avg_Dist_Var:3.1125640373926484
Kmean Avg_Dist_Var:0.38991753937806545; Kmean2 Avg_Dist_Var:3.261319112087258
Kmean Avg_Dist_Var:0.39635715138417904; Kmean2 Avg_Dist_Var:2.1619297996167877
Kmean Avg_Dist_Var:0.3936651188067145; Kmean2 Avg_Dist_Var:2.0354516117186203
Kmean Avg_Dist_Var:0.39177333497066036; Kmean2 Avg_Dist_Var:1.746289029084382
Kmean Avg_Dist_Var:0.39190887945428726; Kmean2 Avg_Dist_Var:2.189066155408937
Kmean Avg_Dist_Var:0.3933604963836189; Kmean2 Avg_Dist_Var:3.4973451814901004
Kmean Avg_Dist_Var:0.3882414479920077; Kmean2 Avg_Dist_Var:2.376671206914048
Kmean Avg_Dist_Var:0.3918412520465052; Kmean2 Avg_Dist_Var:2.7925684817000604
Kmean Avg_Dist_Var:0.395223024010287; Kmean2 Avg_Dist_Var:2.6075988192683117
Kmean Avg_Dist_Var:0.3907378242393029; Kmean2 Avg_Dist_Var:2.8342707217865337
Kmean Avg_Dist_Var:0.39409367047502003; Kmean2 Avg_Dist_Var:2.9010685099329576
Kmean Avg_Dist_Var:0.3958048447511894; Kmean2 Avg_Dist_Var:2.1140097150987422
Kmean Avg_Dist_Var:0.39067493262435604; Kmean2 Avg_Dist_Var:4.5917545117970295
