The centroids are:
[9.9 24.95 ]
[19.9 49.95 ]
[29.9 74.95 ]
[30.0 79.5 ]
[29.85 82.7 ]
[81.9 1.55 ]
[40.9 4.95 ]
[50.9 34.95 ]
[91.9 33.95 ]
[50.9 42.95 ]
[1.5 25.0 ]
[81.9 16.95 ]
[70.9 92.95 ]
[60.9 74.95 ]
[71.0 97.5 ]
[1.5 32.0 ]
[60.9 79.7 ]
[40.9 33.95 ]
[91.9 53.95 ]
[71.9 8.95 ]
[81.9 34.95 ]
[71.9 13.95 ]
[82.0 39.5 ]
[71.55 17.45 ]
[91.9 64.95 ]
[9.9 76.95 ]
[50.9 75.95 ]
[1.5 57.0 ]
[30.9 29.95 ]
[50.9 89.95 ]
[50.75 94.2 ]
[71.9 39.95 ]
[51.15 97.25 ]
[9.9 97.45 ]
[51.5 97.3 ]
[91.9 91.95 ]
[91.55 95.45 ]
[30.9 49.95 ]
[40.9 87.95 ]
[81.9 88.95 ]
[71.9 67.95 ]
[32.55 71.7 ]
[11.95 28.3 ]
[71.9 72.7 ]
[81.9 95.95 ]
[10.25 31.65 ]
[61.9 49.95 ]
[1.5 7.0 ]
[20.9 55.95 ]
[72.0 77.1 ]
[85.5 3.05 ]
[2.25 11.4 ]
[82.1 6.35 ]
[2.7 15.25 ]
[2.45 18.7 ]
[52.95 38.3 ]
[41.9 12.95 ]
[71.9 85.95 ]
[30.9 90.95 ]
[71.5 89.25 ]
[3.4 21.7 ]
[54.85 42.75 ]
[51.75 47.4 ]
[30.9 95.95 ]
[75.05 93.8 ]
[62.4 70.95 ]
[92.9 44.95 ]
[20.9 87.95 ]
[41.9 39.95 ]
[76.5 15.5 ]
[61.9 92.95 ]
[20.9 96.95 ]
[1.5 49.0 ]
[3.1 53.3 ]
[53.9 73.3 ]
[92.9 72.95 ]
[72.9 26.95 ]
[10.9 83.95 ]
[21.9 8.95 ]
[51.9 80.95 ]
[1.5 63.0 ]
[41.9 58.95 ]
[31.9 37.95 ]
[10.9 89.95 ]
[21.9 16.95 ]
[41.9 65.95 ]
[31.9 44.95 ]
[62.9 16.95 ]
[62.55 20.45 ]
[94.55 88.7 ]
[72.9 44.95 ]
[94.6 97.55 ]
[73.0 49.5 ]
[21.9 27.95 ]
[52.9 1.95 ]
[31.9 62.95 ]
[1.5 94.0 ]
[72.9 62.95 ]
[93.9 12.95 ]
[75.9 69.95 ]
[89.25 2.7 ]
[5.75 7.25 ]
[7.85 10.95 ]
[93.9 26.95 ]
[22.15 60.1 ]
[21.55 63.9 ]
[31.95 86.7 ]
[21.75 67.35 ]
[43.15 17.1 ]
[85.9 17.1 ]
[77.3 96.35 ]
[21.9 73.95 ]
[34.05 97.55 ]
[83.9 25.95 ]
[65.3 79.05 ]
[52.9 55.95 ]
[63.9 83.55 ]
[85.05 31.75 ]
[62.55 87.2 ]
[63.6 89.7 ]
[22.15 92.1 ]
[11.9 71.95 ]
[85.45 41.45 ]
[63.95 96.3 ]
[74.05 21.1 ]
[61.95 97.85 ]
[74.85 24.25 ]
[42.9 52.95 ]
[13.0 79.95 ]
[44.2 55.9 ]
[23.5 12.85 ]
[14.6 90.05 ]
[93.9 82.95 ]
[54.7 87.65 ]
[93.45 85.7 ]
[23.95 20.3 ]
[13.7 95.65 ]
[1.9 74.95 ]
[97.55 92.0 ]
[64.15 24.1 ]
[95.75 96.9 ]
[55.1 5.45 ]
[54.15 9.2 ]
[73.9 54.95 ]
[22.9 35.95 ]
[44.25 84.95 ]
[63.9 33.95 ]
[12.9 15.95 ]
[84.05 84.9 ]
[95.15 8.7 ]
[97.85 12.0 ]
[32.95 67.3 ]
[53.9 21.95 ]
[42.95 97.1 ]
[45.1 3.85 ]
[14.05 34.25 ]
[34.95 82.85 ]
[85.4 9.2 ]
[35.3 90.95 ]
[7.9 19.4 ]
[57.7 38.9 ]
[24.1 70.5 ]
[58.3 44.55 ]
[96.9 45.1 ]
[66.35 73.4 ]
[74.9 1.55 ]
[75.25 5.6 ]
[2.9 38.95 ]
[88.05 30.2 ]
[45.55 41.8 ]
[67.15 91.3 ]
[53.9 65.95 ]
[44.15 45.8 ]
[14.9 69.3 ]
[88.4 38.3 ]
[60.8 93.35 ]
[33.9 19.95 ]
[5.3 59.15 ]
[76.6 29.25 ]
[84.9 54.95 ]
[27.35 13.55 ]
[96.95 80.25 ]
[96.15 85.45 ]
[34.65 41.25 ]
[45.6 67.85 ]
[87.95 86.55 ]
[44.1 71.75 ]
[35.9 47.05 ]
[84.9 66.95 ]
[2.9 79.95 ]
[77.4 49.75 ]
[66.05 27.3 ]
[64.4 29.9 ]
[78.05 53.35 ]
[76.6 58.15 ]
